No,ST_NAME_E,ST_NAME_K,ST_CODE,Control_og,BS_CODE,Gage_type,River_system,EL_m,Time_Siries,Daily_Siries,Longitude,Latitude,Longitude_dms,Latitude_dms,X_EPSG5186,Y_EPSG5186
1,Daegwanryeong,대관령,10011100,KMA,100105,basic,Hangang,772.4,No Data,No Data,128.71833,37.67713,128-43-06,37-40-38,351590.250698105,565553.154989711
2,Woljeongsa,월정사,10014010,MOLIT,100108,T/M,Hangang,610,1983Y 07M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.5988889,37.70944444,128-35-56,37-42-34 ,340991.270741445,568953.610452951
3,Jeongseon,정선,10014020,MOLIT,100112,T/M,Hangang,300,1980Y 06M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.6733333,37.38444444,128-40-24,37-23-04 ,348198.545896018,532993.237621967
4,Daegi,대기,10014080,MOLIT,100106,T/M,Hangang,620,1983Y 07M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.7766667,37.59166667,128-46-36,37-35-30 ,356916.785190566,556162.42184008
5,Gohan,고한,10014090,MOLIT,100113,T/M,Hangang,700,1983Y 07M?~ 2013Y 08M,1983Y 01M?~ 2013Y 08M,128.8522222,37.20361111,128-51-08,1937-12-13,364436.511154096,513217.043336286
6,Beoncheon,번천,10014100,MOLIT,100101,T/M,Hangang,760,1983Y 06M ~ 2012Y 12M,1983Y 01M ~ 2012Y 12M,128.9972222,37.36583333,128-59-50,37-21-57 ,376930.287027146,531485.484571783
7,Jinbu,진부,10014110,Kwater,100108,T/M,Hangang,574,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.5761111,37.66083333,128-34-34,37-39-39 ,339073.339634936,563523.666394443
8,Hwenggye,횡계,10014120,Kwater,100105,T/M,Hangang,800,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.7052778,37.66166667,128-42-19,37-39-42 ,350469.933443866,563815.647549731
9,Jeongsun,정선,10014130,Kwater,100112,T/M,Hangang,300,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.7022222,37.38611111,128-42-08,37-23-10 ,350753.947417244,533224.011575889
10,Imgye,임계,10014140,Kwater,100104,T/M,Hangang,498,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.8177778,37.49722222,128-49-04,37-29-50 ,360750.814515824,545748.370342644
11,Sabuk,사북,10014150,Kwater,100113,T/M,Hangang,790,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.8136111,37.24055556,128-48-49,37-14-26 ,360929.83804925,517251.428219813
12,Mitan,미탄,10014160,Kwater,100115,T/M,Hangang,610,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.4902778,37.32777778,128-29-25,37-19-40 ,332084.517434284,526431.717568619
13,Wangsan,왕산,10014170,Kwater,100106,T/M,Hangang,620,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.7422222,37.57583333,128-44-32,37-34-33 ,353906.977395223,554347.880195528
14,Hajang,하장,10014180,Kwater,100102,T/M,Hangang,600,1984Y 07M ~ 2012Y 12M,1987Y 01M ~ 2012Y 12M,128.9355556,37.35305556,128-56-08,37-21-11 ,371495.880089962,529953.292892618
15,Sami,사미,10014197,Kwater,100101,T/M,Hangang,,No Data,No Data,128.9916667,37.28027778,128-59-30,37-16-49 ,376638.318330036,521978.276697239
16,Cheongoksan,청옥산,10014200,Kwater,100115,T/M,Hangang,660,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.4847222,37.36666667,128-29-05,37-22-00 ,331524.220348201,530740.400849634
17,Suhang,수항,10014210,Kwater,100109,T/M,Hangang,490,1993Y 09M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.5652778,37.56388889,128-33-55,37-33-50 ,338296.830901924,552746.834804203
18,Mungok,문곡,10014220,Kwater,100116,T/M,Hangang,800,1994Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.6763889,37.27111111,128-40-35,37-16-16 ,348692.431580429,520418.440895329
19,Yoocheon,유천,10014230,Kwater,100106,T/M,Hangang,380,1994Y 04M ~ 2012Y 12M,1993Y 01M ~ 2012Y 12M,128.7175,37.48972222,128-43-03,37-29-23 ,351897.467584539,544749.268046898
20,Doekam ,덕암,10014240,Kwater,100102,T/M,Hangang,720,1994Y 04M ~ 2012Y 12M,1994Y 01M ~ 2012Y 12M,128.8313889,37.36027778,128-49-53,37-21-37 ,362249.992177956,530570.791657025
21,Yoengweol,영월,10021121,KMA,100213,basic,Hangang,239.7,No Data,No Data,128.45743,37.18126,128-27-27,37-10-53,329423.489461665,510123.977267641
22,Gapyeong,가평,10024010,MOLIT,100203,T/M,Hangang,470,1984Y 06M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4819444,37.44722222,128-28-55,37-26-50 ,331137.615953714,539677.805094132
23,Bangrim,방림,10024060,MOLIT,100205,T/M,Hangang,480,1981Y 09M ~ 2012Y 12M,1965Y 04M ~ 2012Y 12M,128.3941667,37.42666667,128-23-39,37-25-36 ,323403.484682112,537277.682384163
24,Heungjeong,흥정,10024090,MOLIT,100201,T/M,Hangang,640,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3247222,37.65027778,128-19-29,37-39-01 ,316906.659072698,562008.847061252
25,Sudong,수동,10024100,MOLIT,100204,T/M,Hangang,440,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3452778,37.45388889,128-20-43,37-27-14 ,319032.774548012,540236.297871917
26,Yucheon,유천,10024110,MOLIT,212,T/M,Hangang,490,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3772222,37.52555556,128-22-38,37-31-32 ,321743.023544584,548231.80374694
27,Deungmae,등매,10024120,MOLIT,100202,T/M,Hangang,500,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.3930556,37.55166667,128-23-35,37-33-06 ,323099.785054395,551150.655643476
28,Yongjeon,용전,10024130,MOLIT,100201,T/M,Hangang,560,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4394444,37.61055556,128-26-22,37-36-38 ,327099.057639198,557748.954107676
29,Gogil,고길,10024140,MOLIT,100204,T/M,Hangang,620,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4563889,37.40472222,128-27-23,37-24-17 ,328948.962444365,534925.24569427
30,Sinri,신리,10024150,MOLIT,100203,T/M,Hangang,500,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4563889,37.53722222,128-27-23,37-32-14 ,328721.488336027,549632.202052711
31,Gyebang,계방,10024160,MOLIT,100201,T/M,Hangang,700,1982Y 07M ~ 2012Y 12M,1982Y 07M ~ 2012Y 12M,128.4627778,37.67444444,128-27-46,37-40-28 ,329048.850542831,564872.409620864
32,Suju,수주,10024170,Kwater,100211,T/M,Hangang,270,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.2805556,37.28527778,128-16-50,37-17-07 ,313559.683699219,521442.00227802
33,Banglim,방림,10024180,Kwater,100204,T/M,Hangang,680,1984Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.2958333,37.44638889,128-17-45,37-26-47 ,314669.080179117,539342.512980322
34,Bongpyoung,봉평,10024190,Kwater,100201,T/M,Hangang,300,1975Y 07M ~ 2012Y 12M,1986Y 01M ~ 2012Y 12M,128.3763889,37.6325,128-22-35,37-37-57 ,321495.418758765,560101.217099888
